embedding_model,corpus,query_id,difficulty,category,query,relevant_functions,top_1_function,top_5_functions,top_10_functions,first_relevant_rank,reciprocal_rank
bge-small,raw,q_0001,moderate,control_flow,What condition changes the execution path for splitting allows easy extraction individual patterns within larger text can?,"[""benchmark_tests/perft_tests.cpp::split::21""]",src/UCI.cpp::handleOption::66,"[""src/UCI.cpp::handleOption::66"", ""benchmark_tests/perft_tests.cpp::split::21"", ""src/UCI.cpp::handlePosition::122"", ""src/misc.cpp::split::164"", ""debug_tests/see_tests.cpp::Test::Debug::see_test::15""]","[""src/UCI.cpp::handleOption::66"", ""benchmark_tests/perft_tests.cpp::split::21"", ""src/UCI.cpp::handlePosition::122"", ""src/misc.cpp::split::164"", ""debug_tests/see_tests.cpp::Test::Debug::see_test::15"", ""src/UCI.cpp::handlePosition::122"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::standardPerft::107"", ""src/UCI.cpp::handlePosition::122"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/UCI.cpp::UCI::238""]",2,0.5
bge-small,raw,q_0002,moderate,control_flow,What condition changes the execution path for transposition table structure stores key information about previously evaluated positions?,"[""src/UCI.cpp::cleanUp::233""]",src/hashtable.cpp::initTranspositionTable::48,"[""src/hashtable.cpp::initTranspositionTable::48"", ""src/hashtable.cpp::clearTranspositionTable::67"", ""src/UCI.cpp::handlePosition::122"", ""src/hashtable.cpp::probeHash::81"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60""]","[""src/hashtable.cpp::initTranspositionTable::48"", ""src/hashtable.cpp::clearTranspositionTable::67"", ""src/UCI.cpp::handlePosition::122"", ""src/hashtable.cpp::probeHash::81"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::handlePosition::122"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50""]",,0.0
bge-small,raw,q_0003,difficult,state_transition,"If state from an earlier operation persists, what should I trace around takes two parameters representing target which number attacks?","[""include/inline_functions.h::getBishopAttacks::52""]",src/init.cpp::rookAttacksOnTheFly::241,"[""src/init.cpp::rookAttacksOnTheFly::241"", ""src/search/see.cpp::see::14"", ""src/init.cpp::bishopAttacksOnTheFly::213"", ""src/search/see.cpp::see::14"", ""src/UCI.cpp::handlePosition::122""]","[""src/init.cpp::rookAttacksOnTheFly::241"", ""src/search/see.cpp::see::14"", ""src/init.cpp::bishopAttacksOnTheFly::213"", ""src/search/see.cpp::see::14"", ""src/UCI.cpp::handlePosition::122"", ""include/inline_functions.h::getBishopAttacks::52"", ""src/hashtable.cpp::recordHash::114"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/init.cpp::maskPawnAttacks::123"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countPawnAttacks::17""]",6,0.16666666666666666
bge-small,raw,q_0004,difficult,reasoning,Why does the implementation need both command handler chess engine supports commands likeuci isready position others and prints standard output to achieve its result?,"[""src/UCI.cpp::UCI::238"", ""src/UCI.cpp::handleUci::31""]",src/UCI.cpp::handleIsReady::118,"[""src/UCI.cpp::handleIsReady::118"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::UCI::238"", ""src/UCI.cpp::handleUci::31"", ""src/UCI.cpp::handleGo::194""]","[""src/UCI.cpp::handleIsReady::118"", ""src/UCI.cpp::handlePosition::122"", ""src/UCI.cpp::UCI::238"", ""src/UCI.cpp::handleUci::31"", ""src/UCI.cpp::handleGo::194"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""src/UCI.cpp::UCI::238"", ""src/UCI.cpp::handlePosition::122"", ""src/hashtable.cpp::probeHash::81"", ""src/search/see.cpp::see::14""]",3,0.3333333333333333
bge-small,raw,q_0005,moderate,data_flow,What intermediate representation connects checks hash table occupied checking any keys exist number with the eventual result?,"[""src/hashtable.cpp::checkHashOccupancy::132""]",src/hashtable.cpp::checkHashOccupancy::132,"[""src/hashtable.cpp::checkHashOccupancy::132"", ""src/hashtable.cpp::probeHash::81"", ""src/hashtable.cpp::recordHash::114"", ""src/hashtable.cpp::recordHash::114"", ""src/hashtable.cpp::generateHashKey::26""]","[""src/hashtable.cpp::checkHashOccupancy::132"", ""src/hashtable.cpp::probeHash::81"", ""src/hashtable.cpp::recordHash::114"", ""src/hashtable.cpp::recordHash::114"", ""src/hashtable.cpp::generateHashKey::26"", ""src/hashtable.cpp::initTranspositionTable::48"", ""src/hashtable.cpp::probeHash::81"", ""src/eval/evaluation.cpp::evaluate::35"", ""debug_tests/move_tests.cpp::Test::Debug::printMoveOrdering::50"", ""src/UCI.cpp::handlePosition::122""]",1,1.0
bge-small,raw,q_0006,difficult,multi_hop,How does initialises squares between pieces attacks reach calculates diagonal using formula sqrt through an intermediate processing step?,"[""include/inline_functions.h::getRookAttacks::66"", ""src/init.cpp::diagonal_of::394"", ""src/init.cpp::initialiseSquaresBetween::400""]",include/inline_functions.h::getBishopXrayAttacks::60,"[""include/inline_functions.h::getBishopXrayAttacks::60"", ""include/inline_functions.h::getRookXrayAttacks::74"", ""src/init.cpp::maskKingMoves::162"", ""include/inline_functions.h::getBishopAttacks::52"", ""src/search/see.cpp::see::14""]","[""include/inline_functions.h::getBishopXrayAttacks::60"", ""include/inline_functions.h::getRookXrayAttacks::74"", ""src/init.cpp::maskKingMoves::162"", ""include/inline_functions.h::getBishopAttacks::52"", ""src/search/see.cpp::see::14"", ""src/init.cpp::maskPawnAttacks::123"", ""src/init.cpp::initialiseSquaresBetween::400"", ""include/inline_functions.h::getRookAttacks::66"", ""src/init.cpp::maskBishopMoves::182"", ""src/init.cpp::maskRookMoves::198""]",7,0.14285714285714285
bge-small,raw,q_0007,difficult,cross_function,How do the components responsible for calculates number rook xray attacks checking all possible moves each and uses bitwise operations calculate number rook attacks iterating over all cooperate?,"[""include/inline_functions.h::getRookAttacks::66"", ""include/inline_functions.h::getRookXrayAttacks::74""]",src/init.cpp::rookAttacksOnTheFly::241,"[""src/init.cpp::rookAttacksOnTheFly::241"", ""src/search/see.cpp::see::14"", ""include/inline_functions.h::getRookAttacks::66"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKnightMoves::39"", ""src/eval/evaluation.cpp::evaluate::35""]","[""src/init.cpp::rookAttacksOnTheFly::241"", ""src/search/see.cpp::see::14"", ""include/inline_functions.h::getRookAttacks::66"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKnightMoves::39"", ""src/eval/evaluation.cpp::evaluate::35"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKingMoves::67"", ""include/inline_functions.h::getBishopAttacks::52"", ""src/search/see.cpp::see::14"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countPawnAttacks::17"", ""src/init.cpp::bishopAttacksOnTheFly::213""]",3,0.3333333333333333
bge-small,raw,q_0008,difficult,state_transition,How does the code move from takes two parameters representing target which number attacks to a resulting state while preserving context?,"[""include/inline_functions.h::getBishopAttacks::52""]",src/search/see.cpp::see::14,"[""src/search/see.cpp::see::14"", ""src/init.cpp::rookAttacksOnTheFly::241"", ""src/init.cpp::bishopAttacksOnTheFly::213"", ""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""src/init.cpp::maskPawnAttacks::123""]","[""src/search/see.cpp::see::14"", ""src/init.cpp::rookAttacksOnTheFly::241"", ""src/init.cpp::bishopAttacksOnTheFly::213"", ""debug_tests/move_tests.cpp::Test::Debug::moveSorting::20"", ""src/init.cpp::maskPawnAttacks::123"", ""src/init.cpp::initEvaluationMasks::358"", ""debug_tests/see_tests.cpp::Test::Debug::see_test::15"", ""src/search/see.cpp::see::14"", ""src/init.cpp::initSliderAttacks::291"", ""include/inline_functions.h::getBishopAttacks::52""]",10,0.1
bge-small,raw,q_0009,difficult,state_transition,What part of the implementation controls the transition associated with takes bitboard input iterates over bits using bitwise increments count?,"[""include/inline_functions.h::countBits::9""]",src/search/see.cpp::see::14,"[""src/search/see.cpp::see::14"", ""include/inline_functions.h::countBits::9"", ""src/eval/evaluation.cpp::evaluate::35"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60"", ""src/init.cpp::bishopAttacksOnTheFly::213""]","[""src/search/see.cpp::see::14"", ""include/inline_functions.h::countBits::9"", ""src/eval/evaluation.cpp::evaluate::35"", ""benchmark_tests/perft_tests.cpp::Test::BenchMark::perft::60"", ""src/init.cpp::bishopAttacksOnTheFly::213"", ""debug_tests/evaluation_tests.cpp::Test::Debug::mirrorEval::54"", ""src/search/see.cpp::see::14"", ""debug_tests/see_tests.cpp::Test::Debug::see_test::15"", ""benchmark_tests/search_and_eval.cpp::Test::BenchMark::staticSearch::71"", ""src/eval/evaluation.cpp::evaluate::35""]",2,0.5
bge-small,raw,q_0010,easy,input_output,What transformation is associated with determine type chess before a result is returned?,"[""include/types.h::pieceType::31""]",src/misc.cpp::parseMove::135,"[""src/misc.cpp::parseMove::135"", ""src/search/see.cpp::see::14"", ""src/misc.cpp::algebraicNotation::88"", ""src/search/see.cpp::see::14"", ""debug_tests/evaluation_tests.cpp::swapColours::33""]","[""src/misc.cpp::parseMove::135"", ""src/search/see.cpp::see::14"", ""src/misc.cpp::algebraicNotation::88"", ""src/search/see.cpp::see::14"", ""debug_tests/evaluation_tests.cpp::swapColours::33"", ""src/UCI.cpp::resetGameVariables::26"", ""debug_tests/bitmask_tests.cpp::Test::Debug::countKingMoves::67"", ""src/eval/evaluation.cpp::evaluate::35"", ""src/eval/evaluation.cpp::flip::17"", ""src/board.cpp::charToPiece::24""]",,0.0
